Футболка «Феєрверк» до 121-річчя Одеського художнього,"Футболка з репродукцією роботи Костянтина Сомова «Феєрверк» з основної експозиції Одеського художнього. Лімітована колекція до 121-річчя Одеського художнього. Склад: 100% бавовнаРозмірна сітка:  S  Довжина 70 / Ширина 45  М  Довжина 74 / Ширина 50  L  Довжина 75 / Ширина 54  XL  Довжина 81 / Ширина 60  Тип: Футболки
Категорія: Доросле
Картина: Феєрверк
Художник: Сомов",https://www.ofam.org.ua/ua/shop/tproduct/130991792-988396393881-futbolka-ferverk-do-121-rchchya-odeskogo,https://static.tildacdn.com/tild6361-6331-4437-a330-373533666532/_.png,"349,00"
Футболка «Гуси» до 121-річчя Одеського художнього,"Футболка з репродукцією роботи Киріака Костанді «Гуси» з основної експозиції Одеського художнього. Лімітована колекція до 121-річчя Одеського художнього. Склад: 100% бавовнаРозмірна сітка:  S  Довжина 70 / Ширина 45  М  Довжина 74 / Ширина 50  L  Довжина 75 / Ширина 54  XL  Довжина 81 / Ширина 60  Тип: Футболки
Категорія: Доросле",https://www.ofam.org.ua/ua/shop/tproduct/130991792-431087120681-futbolka-gusi-do-121-rchchya-odeskogo-hu,https://static.tildacdn.com/tild3934-3761-4133-a362-326662653762/_.png,"349,00"
Шкарпетки «З музеєм у серці»,"Шкарпетки «З музеєм у серці», які ми розробили до 121-річчя Одеського художнього. Купуючи шкарпетки, ви підтримуєте Одеський художній музей.                                                                                                                                 Тип: Шкарпетки
Категорія: Доросле",https://www.ofam.org.ua/ua/shop/tproduct/130991792-116535171771-shkarpetki-z-muzem-u-serts,https://static.tildacdn.com/tild3933-3430-4132-b232-363461626636/IMG_4239z.jpg,"99,00"
"Футболка «Моє місце там, де я хочу»","Футболка з серії проти гендерних стереотипів з репродукцією роботи Амшея Нюренберга «Купальщики» з колекції Одеського художнього.Склад: 100% бавовнаРозмір: oversize Тип: Футболки
Категорія: Доросле
Художник: Нюренберг",https://www.ofam.org.ua/ua/shop/tproduct/130991792-328531510154-futbolka-mo-mstse-tam-de-ya-hochu,https://static.tildacdn.com/tild6631-6466-4334-a466-376335663262/2.png,"999,00"
Membership 2020,"Membership — один із способів підтримки музею мешканцями та гостями міста. Програму Membership можна знайти в більшості великих музеїв світу. Сплачуючи єдиний внесок за рік, власники Member Card роблять особистий внесок у розвиток Одеського художнього музею і дають можливість музею краще піклуватися про них.З Member Card ви отримаєте: ✓ вільний вхід до основної експозиції музею протягом 2020 року (1 особа)✓ вільний вхід на всі тимчасові виставки протягом 2020 року (1 особа)✓ вільний вхід на лекції протягом 2020 року (1 особа)✓ вільна участь в усіх екскурсіях протягом 2020 року (1 особа)",https://www.ofam.org.ua/ua/shop/tproduct/130991792-632791591151-membership-2020,https://static.tildacdn.com/tild3761-3638-4332-b063-356564663263/credit_card_mockup.jpg,"199,00"
Футболка «Ройтбурд»,"Футболка на підтримку директора Одеського художнього музею Олександра Ройтбурда.Ілюстрація: Олександр ГреховСклад: 100% бавовнаРозмірна сітка:  S  Довжина 70 / Ширина 45  М  Довжина 74 / Ширина 50  L  Довжина 75 / Ширина 54  XL  Довжина 81 / Ширина 60  Тип: Футболки
Категорія: Доросле
Художник: Ройтбурд",https://www.ofam.org.ua/ua/shop/tproduct/130991792-606892246516-futbolka-roitburd,https://static.tildacdn.com/tild3136-3233-4433-b036-346131386438/__.png,"275,00"
Футболка «Моя краса не на поверхні»,"Футболка з серії проти гендерних стереотипів з репродукцією роботи Юлія Бершадського «Революціонерка» з колекції Одеського художнього.Склад: 100% бавовнаРозмір: oversize Тип: Футболки
Категорія: Доросле",https://www.ofam.org.ua/ua/shop/tproduct/130991792-901605198260-futbolka-moya-krasa-ne-na-poverhn,https://static.tildacdn.com/tild6666-6263-4762-a661-356363646166/2.png,"999,00"
Футболка «Овочі. Натюрморт»,"Футболка з репродукцією роботи Іллі Машкова «Овочі. Натюрморт» з основної експозиції Одеського художнього.Склад: 100% бавовнаРозмірна сітка:SДовжина 70 / Ширина 45МДовжина 74 / Ширина 50LДовжина 75 / Ширина 54XLДовжина 81 / Ширина 60Розмірна сітка:  S  Довжина 70 / Ширина 45  М  Довжина 74 / Ширина 50  L  Довжина 75 / Ширина 54  XL  Довжина 81 / Ширина 60  Тип: Футболки
Категорія: Доросле
Картина: Овочі. Натюрморт
Художник: Машков",https://www.ofam.org.ua/ua/shop/tproduct/130991792-363402382795-futbolka-ovoch-natyurmort,https://static.tildacdn.com/tild6539-6664-4138-b730-656234666535/IMG_1132_1-min.jpg,"199,00"
"Футболка «Спитай мене, коли я вийду заміж»","Футболка з серії проти гендерних стереотипів з репродукцією роботи Костянтина Сомова «Портрет Тетяни Брайкевич» з колекції Одеського художнього.Склад: 100% бавовнаРозмір: oversize Тип: Футболки
Категорія: Доросле
Художник: Сомов",https://www.ofam.org.ua/ua/shop/tproduct/130991792-983718766758-futbolka-spitai-mene-koli-ya-viidu-zamzh,https://static.tildacdn.com/tild6661-3562-4061-b762-663762643638/2.png,"999,00"
Футболка «Не зли Маразли»,"Футболка з репродукцією роботи Івана Карцова «Портрет Маразлі» з основної експозиції Одеського художнього. Завдяки Григорію Маразлі Одеса має цілу низку пам'яток архітектури. Не злімо Маразлі — піклуймося про архітектурну спадщину.Склад: 100% бавовнаРозмірна сітка:  S  Довжина 70 / Ширина 45  М  Довжина 74 / Ширина 50  L  Довжина 75 / Ширина 54  XL  Довжина 81 / Ширина 60  Тип: Футболки
Категорія: Доросле
Картина: Маразлі",https://www.ofam.org.ua/ua/shop/tproduct/130991792-669951567876-futbolka-ne-zli-marazli,https://static.tildacdn.com/tild3131-3433-4462-a236-373362303033/IMG_0981-4_1-min.jpg,"349,00"
